wavelength continuum H1_lines metal_lines_Z1 metal_lines_Z2 metal_lines_Z3
91.0 8.10811e-38 0.0 0.0 0.0 0.0
94.0 8.10811e-38 0.0 0.0 0.0 0.0
96.0 8.10811e-38 0.0 0.0 0.0 0.0
98.0 8.10811e-38 0.0 0.0 0.0 0.0
100.0 8.10811e-38 0.0 0.0 0.0 0.0
102.0 8.10811e-38 0.0 0.0 0.0 0.0
104.0 8.10811e-38 0.0 0.0 0.0 0.0
106.0 8.10811e-38 0.0 0.0 0.0 0.0
108.0 8.10811e-38 0.0 0.0 0.0 0.0
110.0 8.10811e-38 0.0 0.0 0.0 0.0
114.0 8.10811e-38 0.0 0.0 0.0 0.0
118.0 8.10811e-38 0.0 0.0 0.0 0.0
121.0 8.10811e-38 0.0 0.0 0.0 0.0
125.0 8.10811e-38 0.0 0.0 0.0 0.0
127.0 8.10811e-38 0.0 0.0 0.0 0.0
128.0 8.10811e-38 0.0 0.0 0.0 0.0
131.0 8.10811e-38 0.0 0.0 0.0 0.0
132.0 8.10811e-38 0.0 0.0 0.0 0.0
134.0 8.10811e-38 0.0 0.0 0.0 0.0
137.0 8.10811e-38 0.0 0.0 0.0 0.0
140.0 8.10811e-38 0.0 0.0 0.0 0.0
143.0 8.10811e-38 0.0 0.0 0.0 0.0
147.0 8.10811e-38 0.0 0.0 0.0 0.0
151.0 8.10811e-38 0.0 0.0 0.0 0.0
155.0 8.10811e-38 0.0 0.0 0.0 0.0
159.0 8.10811e-38 0.0 0.0 0.0 0.0
162.0 8.10811e-38 0.0 0.0 0.0 0.0
166.0 8.10811e-38 0.0 0.0 0.0 0.0
170.0 8.10811e-38 0.0 0.0 0.0 0.0
173.0 8.10811e-38 0.0 0.0 0.0 0.0
177.0 8.10811e-38 0.0 0.0 0.0 0.0
180.0 8.10811e-38 0.0 0.0 0.0 0.0
182.0 8.10811e-38 0.0 0.0 0.0 0.0
186.0 8.10811e-38 0.0 0.0 0.0 0.0
191.0 8.10811e-38 0.0 0.0 0.0 0.0
194.0 8.10811e-38 0.0 0.0 0.0 0.0
198.0 8.10811e-38 0.0 0.0 0.0 0.0
202.0 8.10811e-38 0.0 0.0 0.0 0.0
205.0 8.10811e-38 0.0 0.0 0.0 0.0
210.0 8.10811e-38 0.0 0.0 0.0 0.0
216.0 8.10811e-38 0.0 0.0 0.0 0.0
220.0 8.10811e-38 0.0 0.0 0.0 0.0
223.0 8.10811e-38 0.0 0.0 0.0 0.0
227.0 8.10811e-38 0.0 0.0 0.0 0.0
230.0 8.10811e-38 0.0 0.0 0.0 0.0
234.0 8.10811e-38 0.0 0.0 0.0 0.0
240.0 8.10811e-38 0.0 0.0 0.0 0.0
246.0 8.10811e-38 0.0 0.0 0.0 0.0
252.0 8.10811e-38 0.0 0.0 0.0 0.0
257.0 8.10811e-38 0.0 0.0 0.0 0.0
260.0 8.10811e-38 0.0 0.0 0.0 0.0
264.0 8.10811e-38 0.0 0.0 0.0 0.0
269.0 8.10811e-38 0.0 0.0 0.0 0.0
274.0 8.10811e-38 0.0 0.0 0.0 0.0
279.0 8.10811e-38 0.0 0.0 0.0 0.0
284.0 8.10811e-38 0.0 0.0 0.0 0.0
290.0 8.10811e-38 0.0 0.0 0.0 0.0
296.0 8.10811e-38 0.0 0.0 0.0 0.0
301.0 8.10811e-38 0.0 0.0 0.0 0.0
308.0 8.10811e-38 0.0 0.0 0.0 0.0
318.0 8.10811e-38 0.0 0.0 0.0 0.0
